TRAFFIC SIGNAL INVENTORY NO,OWNER,PRIMARY STREET NAME,SECONDARY STREET NAME,LATITUDE,LONGITUDE,GeoLocation
S-372,STATE,PERKINS RD,PECUE LN,30.36046,-91.05263,"(30.36046, -91.05263)"
S-373,STATE,RIVER RD,RIVER PARK BLVD,30.4621,-91.18891,"(30.4621, -91.18891)"
S-374,STATE,BURBANK DR,S STARING LN,30.36186,-91.1273,"(30.36186, -91.1273)"
S-375,STATE,SIEGEN LN,N OAK HILLS PKWY,30.36105,-91.07888,"(30.36105, -91.07888)"
S-376,STATE,AIRLINE HWY,STUMBERG LN / PECUE BLVD,30.38089,-91.03823,"(30.38089, -91.03823)"
S-377,STATE,BURBANK DR,PARKER BLVD,30.40179,-91.17656,"(30.40179, -91.17656)"
S-378,STATE,GREENWELL SPRINGS RD,CENTRAL THWY,30.51505,-91.02633,"(30.51505, -91.02633)"
S-056,STATE,AIRLINE HWY,HIGHLAND RD,30.35909,-91.00857,"(30.35909, -91.00857)"
S-289,STATE,JEFFERSON HWY,HIGHLAND RD,30.36235,-91.00371,"(30.36235, -91.00371)"
S-307,STATE,HIGHLAND RD,PERKINS RD E,30.34797,-91.02766,"(30.34797, -91.02766)"
S-278,STATE,HIGHLAND RD,I-10,30.3463,-91.02948,"(30.3463, -91.02948)"
S-324,STATE,HIGHLAND RD,PERKINS RD,30.34518,-91.03112,"(30.34518, -91.03112)"
S-293,STATE,AIRLINE HWY,BARINGER-FOREMAN RD,30.36421,-91.0218,"(30.36421, -91.0218)"
S-315,STATE,JEFFERSON HWY,HOO SHOO TOO RD,30.35541,-90.99276,"(30.35541, -90.99276)"
S-288,STATE,JEFFERSON HWY,BARINGER-FOREMAN RD,30.37571,-91.01707,"(30.37571, -91.01707)"
S-381,STATE,AIRLINE HWY,ANTIOCH RD,30.36179,-91.01537,"(30.36179, -91.01537)"
S-263,STATE,JEFFERSON HWY,TIGER BEND RD,30.39202,-91.03422,"(30.39202, -91.03422)"
